company,job_title,job_type,experience_level,skills
SGS,clinical data analyst,Full Time,Entry-level,"['genetics', 'sas', 'computer science', 'data quality', 'statistics', 'mathematics']"
Ocorian,aml/cft & data analyst,Full Time,Entry-level,"['agile', 'security', 'data management', 'finance']"
Cricut,machine learning engineer,Full Time,No Experience,"['agile', 'deep learning', 'architecture', 'aws', 'computer science', 'computer vision']"
Bosch Group,application developer & data analyst,Full Time,Entry-level,"['power bi', 'oracle', 'rd', 'industrial', 'engineering', 'r']"
Publicis Groupe,data engineer full time (public sector) usa,Full Time,Mid-level,"['data pipelines', 'azure', 'aws', 'computer science', 'dataflow', 'consulting']"
ServiceNow,sr staff data scientist - atg,Full Time,Senior-level,"['deep learning', 'computer science', 'industrial', 'machine learning', 'nlp', 'numpy']"
Natixis in Portugal,vendor management and data quality lead,Full Time,Entry-level,"['excel', 'security', 'banking', 'data quality']"
NielsenIQ,intern (business intelligence service support),Internship,Entry-level,"['genetics', 'excel', 'business intelligence']"
Western Digital,summer 2023 data engineering intern,Internship,Entry-level,"['mathematics', 'matlab', 'big data', 'computer science', 'machine learning', 'engineering']"
Palo Alto Networks,principal cloud data engineer (prisma access),Full Time,Senior-level,"['agile', 'apis', 'big data', 'aws', 'computer science', 'azure']"
CERN,data scientist (te-crg-glo-2023-19-grap),Full Time,Entry-level,"['deep learning', 'data analysis', 'computer science', 'machine learning', 'keras', 'phd']"
NielsenIQ,data analyst - revenue optimizer,Full Time,No Experience,"['business analytics', 'data management', 'genetics', 'business intelligence', 'engineering', 'economics']"
YouGov,graduate power bi developer,Full Time,Entry-level,"['power bi', 'finance', 'data analytics', 'excel', 'market research', 'privacy']"
Bosch Group,sap consultant - product data management,Full Time,Senior-level,"['spark', 'r', 'data management', 'engineering']"
Bosch Group,premaster programm - data analytics and visualization,Full Time,Entry-level,"['llms', 'data analytics', 'bigquery', 'python', 'pandas']"
ServiceNow,staff data scientist - atg,Full Time,Senior-level,"['deep learning', 'computer science', 'industrial', 'machine learning', 'nlp', 'numpy']"
PlayStation Global,machine learning engineer,Full Time,Senior-level,"['github', 'gitlab', 'aws', 'cuda', 'git', 'docker']"
Canva,senior data analyst - sales,Full Time,Senior-level,"['finance', 'redshift', 'bigquery', 'excel', 'python', 'r']"
Issuu,bi analyst,Full Time,No Experience,"['business analytics', 'data warehouse', 'looker', 'python', 'business intelligence', 'r']"
DeepL,"data scientist insights (f/m/d) - ger, uk, nl, pl",Full Time,Senior-level,"['agile', 'machine learning', 'data visualization', 'metabase', 'mathematics', 'economics']"
Printify,senior data analyst (remote within emea),Full Time,Senior-level,"['data analytics', 'architecture', 'data analysis', 'ecommerce', 'data visualization', 'data quality']"
Visa,senior data engineer (evergreen),Full Time,Senior-level,"['data governance', 'agile', 'clustering', 'data mining', 'computer science', 'airflow']"
Talan,data management scrum master,Full Time,Entry-level,"['agile', 'data management', 'databricks', 'big data', 'azure', 'blockchain']"
Bosch Group,rotational development program - artificial intelligence and machine learning trainee,Full Time,Entry-level,"['clustering', 'apis', 'architecture', 'computer science', 'azure', 'airflow']"
EX2 Outcoding,data engineer scientist,Full Time,Mid-level,"['sql', 'data mining', 'computer science', 'python', 'statistics', 'engineering']"
CGG,data scientist (elasticsearch),Full Time,Entry-level,"['agile', 'deep learning', 'cd', 'data visualization', 'data quality', 'ci', 'computer vision']"
RCA,data engineer f/h,Full Time,Entry-level,"['etl', 'airflow', 'architecture', 'data warehouse', 'aws', 'devops']"
Publicis Groupe,bi developer,Full Time,Senior-level,"['etl', 'agile', 'architecture', 'data analysis', 'data visualization', 'business intelligence']"
Block,data scientist - fraud risk,Full Time,Senior-level,"['data pipelines', 'banking', 'fraud risk', 'crypto', 'blockchain', 'engineering']"
QuintoAndar,quintoandar - senior data analyst,Full Time,Senior-level,"['tableau', 'clustering', 'sql', 'looker', 'python']"
Neo Cybernetica,ml research engineer,Full Time,Senior-level,"['datarobot', 'machine learning', 'keras', 'python', 'cybernetics', 'engineering']"
Western Digital,"principal engineer, data project management",Full Time,Senior-level,"['data analytics', 'excel', 'industrial', 'statistics', 'engineering']"
Podium,senior data engineer,Full Time,Senior-level,"['data pipelines', 'apis', 'data analysis', 'big data', 'computer science', 'data quality']"
Netcentric,(senior) digital analytics engineer,Full Time,Senior-level,"['b testing', 'apis', 'computer science', 'angular', 'javascript', 'a', 'engineering']"
Freeform,senior software engineer (data pipeline),Full Time,Senior-level,"['data warehousing', 'data pipelines', 'big data', 'cd', 'computer science', 'ci', 'computer vision']"
Opera,senior data scientist,Full Time,Senior-level,"['agile', 'data analysis', 'big data', 'bigquery', 'computer science', 'airflow']"
Bosch Group,data science lead (hybrid),Full Time,No Experience,"['b testing', 'power bi', 'mathematics', 'data visualization', 'a', 'engineering', 'economics']"
Tiendanube,business intelligence analyst,Full Time,Senior-level,"['tableau', 'ecommerce', 'sql', 'python', 'business intelligence']"
Ask Media Group,lead business intelligence analyst,Full Time,Senior-level,"['b testing', 'kpis', 'data visualization', 'looker', 'a', 'business intelligence', 'mathematics']"
Angi,senior data scientist,Full Time,Senior-level,"['big data', 'data mining', 'machine learning', 'ml models', 'phd', 'mathematics']"
Visa,sr data engineer,Full Time,Senior-level,"['agile', 'big data', 'data mining', 'data visualization', 'business intelligence', 'engineering']"
AVIV Group,data modeler,Full Time,Senior-level,"['data governance', 'kpis', 'data management', 'architecture', 'privacy', 'engineering']"
Mutt Data,data engineer,Full Time,Mid-level,"['architecture', 'big data', 'bigquery', 'cd', 'aws', 'ci', 'airflow']"
Global Atlantic Financial Group,"vp, actuarial modeling and data management",Full Time,Senior-level,"['data management', 'finance', 'excel', 'ml models', 'privacy', 'mathematics']"
REWE International Dienstleistungsgesellschaft m.b.H,junior data science engineer (m/w/x),Full Time,Entry-level,"['data pipelines', 'deep learning', 'oracle', 'cd', 'computer science', 'ci', 'pipelines']"
Imagen Technologies,healthcare data analyst,Full Time,Mid-level,"['genetics', 'python', 'git', 'business intelligence', 'pandas', 'engineering']"
Sunnova Energy International,data scientist,Full Time,Senior-level,"['agile', 'apis', 'architecture', 'big data', 'aws', 'classification']"
DeepL,"data analyst marketing or sales (f/m/d) - ger, uk, nl, pl",Full Time,Senior-level,"['agile', 'kpis', 'data analysis', 'data visualization', 'mathematics', 'economics']"
EUROPEAN DYNAMICS,business intelligence expert,Full Time,Mid-level,"['data analytics', 'data analysis', 'privacy', 'phd', 'python', 'business intelligence']"
Gemini,data engineer,Full Time,Senior-level,"['banking', 'architecture', 'big data', 'bigquery', 'aws', 'airflow']"
OpenSea,senior data analyst,Full Time,Senior-level,"['data governance', 'data management', 'data analysis', 'computer science', 'data quality', 'blockchain']"
Weave HQ,principle mlops engineer,Full Time,Senior-level,"['bigtable', 'data analysis', 'aws', 'distributed systems', 'devops', 'engineering']"
Monzo,senior data scientist,Full Time,Senior-level,"['b testing', 'banking', 'finance', 'data mining', 'looker', 'a', 'python']"
Scale AI,"machine learning research engineer, generative ai",Full Time,Senior-level,"['generative modeling', 'deep learning', 'llms', 'gcp', 'aws', 'machine learning']"
Channel Factory,data analyst - product innovation,Full Time,Mid-level,"['data pipelines', 'apis', 'data analysis', 'computer science', 'aws', 'excel']"
Confused.com,lead data scientist,Full Time,Mid-level,"['data management', 'big data', 'aws', 'computer science', 'azure', 'business intelligence']"
Riverflex,data product owner,Full Time,Senior-level,"['research', 'testing', 'computer science', 'market research', 'dataops', 'engineering']"
