company,job_title,job_type,experience_level,skills,skills_list,combined_text,combined_cleaned
SGS,clinical data analyst,Full Time,Entry-level,"['genetics', 'sas', 'computer science', 'data quality', 'statistics', 'mathematics']","['genetics', 'sas', 'computer science', 'data quality', 'statistics', 'mathematics']","clinical data analyst Entry-level ['genetics', 'sas', 'computer science', 'data quality', 'statistics', 'mathematics']",clinical data analyst entry level genetics sas computer science data quality statistics mathematics
Ocorian,aml/cft & data analyst,Full Time,Entry-level,"['agile', 'security', 'data management', 'finance']","['agile', 'security', 'data management', 'finance']","aml/cft & data analyst Entry-level ['agile', 'security', 'data management', 'finance']",aml cft data analyst entry level agile security data management finance
Cricut,machine learning engineer,Full Time,No Experience,"['agile', 'deep learning', 'architecture', 'aws', 'computer science', 'computer vision']","['agile', 'deep learning', 'architecture', 'aws', 'computer science', 'computer vision']","machine learning engineer No Experience ['agile', 'deep learning', 'architecture', 'aws', 'computer science', 'computer vision']",machine learning engineer no experience agile deep learning architecture aws computer science computer vision
Bosch Group,application developer & data analyst,Full Time,Entry-level,"['power bi', 'oracle', 'rd', 'industrial', 'engineering', 'r']","['power bi', 'oracle', 'rd', 'industrial', 'engineering', 'r']","application developer & data analyst Entry-level ['power bi', 'oracle', 'rd', 'industrial', 'engineering', 'r']",application developer data analyst entry level power bi oracle rd industrial engineering r
Publicis Groupe,data engineer full time (public sector) usa,Full Time,Mid-level,"['data pipelines', 'azure', 'aws', 'computer science', 'dataflow', 'consulting']","['data pipelines', 'azure', 'aws', 'computer science', 'dataflow', 'consulting']","data engineer full time (public sector) usa Mid-level ['data pipelines', 'azure', 'aws', 'computer science', 'dataflow', 'consulting']",data engineer full time public sector usa mid level data pipelines azure aws computer science dataflow consulting
ServiceNow,sr staff data scientist - atg,Full Time,Senior-level,"['deep learning', 'computer science', 'industrial', 'machine learning', 'nlp', 'numpy']","['deep learning', 'computer science', 'industrial', 'machine learning', 'nlp', 'numpy']","sr staff data scientist - atg Senior-level ['deep learning', 'computer science', 'industrial', 'machine learning', 'nlp', 'numpy']",sr staff data scientist atg senior level deep learning computer science industrial machine learning nlp numpy
Natixis in Portugal,vendor management and data quality lead,Full Time,Entry-level,"['excel', 'security', 'banking', 'data quality']","['excel', 'security', 'banking', 'data quality']","vendor management and data quality lead Entry-level ['excel', 'security', 'banking', 'data quality']",vendor management and data quality lead entry level excel security banking data quality
NielsenIQ,intern (business intelligence service support),Internship,Entry-level,"['genetics', 'excel', 'business intelligence']","['genetics', 'excel', 'business intelligence']","intern (business intelligence service support) Entry-level ['genetics', 'excel', 'business intelligence']",intern business intelligence service support entry level genetics excel business intelligence
Western Digital,summer 2023 data engineering intern,Internship,Entry-level,"['mathematics', 'matlab', 'big data', 'computer science', 'machine learning', 'engineering']","['mathematics', 'matlab', 'big data', 'computer science', 'machine learning', 'engineering']","summer 2023 data engineering intern Entry-level ['mathematics', 'matlab', 'big data', 'computer science', 'machine learning', 'engineering']",summer 2023 data engineering intern entry level mathematics matlab big data computer science machine learning engineering
Palo Alto Networks,principal cloud data engineer (prisma access),Full Time,Senior-level,"['agile', 'apis', 'big data', 'aws', 'computer science', 'azure']","['agile', 'apis', 'big data', 'aws', 'computer science', 'azure']","principal cloud data engineer (prisma access) Senior-level ['agile', 'apis', 'big data', 'aws', 'computer science', 'azure']",principal cloud data engineer prisma access senior level agile apis big data aws computer science azure
CERN,data scientist (te-crg-glo-2023-19-grap),Full Time,Entry-level,"['deep learning', 'data analysis', 'computer science', 'machine learning', 'keras', 'phd']","['deep learning', 'data analysis', 'computer science', 'machine learning', 'keras', 'phd']","data scientist (te-crg-glo-2023-19-grap) Entry-level ['deep learning', 'data analysis', 'computer science', 'machine learning', 'keras', 'phd']",data scientist te crg glo 2023 19 grap entry level deep learning data analysis computer science machine learning keras phd
NielsenIQ,data analyst - revenue optimizer,Full Time,No Experience,"['business analytics', 'data management', 'genetics', 'business intelligence', 'engineering', 'economics']","['business analytics', 'data management', 'genetics', 'business intelligence', 'engineering', 'economics']","data analyst - revenue optimizer No Experience ['business analytics', 'data management', 'genetics', 'business intelligence', 'engineering', 'economics']",data analyst revenue optimizer no experience business analytics data management genetics business intelligence engineering economics
